Systematic Name	Gene Name	Y22-3 YPD +O2 Rep A	Y22-3 YPD +O2 Rep B	Y127 YPD +O2 Rep A	Y127 YPD +O2 Rep A	Y128 YPD +O2 Rep A	Y128 YPD +O2 Rep B	Y22-3 YPX +O2 Rep A	Y22-3 YPX +O2 Rep B	Y127 YPX +O2 Rep A	Y127 YPX +O2 Rep B	Y128 YPX +O2 Rep A	Y128 YPX +O2 Rep B	Y22-3 YPD -O2 Rep A	Y22-3 YPD -O2 Rep B	Y127 YPD -O2 Rep A	Y127 YPD -O2 Rep A	Y128 YPD -O2 Rep A	Y128 YPD -O2 Rep B	Y22-3 YPX -O2 Rep A	Y22-3 YPX -O2 Rep B	Y127 YPX -O2 Rep A	Y127 YPX -O2 Rep B	Y128 YPX -O2 Rep A	Y128 YPX -O2 Rep B	Y22-3 YPGal +O2 Rep A	Y22-3 YPGal -O2 Rep A	Y22-3 YPSor +O2 Rep A	Y22-3 YPSor -O2 Rep A	Y128 YPGal +O2 Rep A	Y128 YPGal -O2 Rep A	Y128 YPSor +O2 Rep A	Y128 YPSor -O2 Rep A
CpXylA	CpXylA	14.213	14.266	14.408	14.437	14.285	14.29	14.124	14.309	14.349	13.824	13.989	14.062	12.968	12.336	12.693	12.203	11.004	10.794	11.758	11.628	14.235	14.011	13.591	13.451	14.063	13.995	12.793	13.147	13.591	13.019	12.109	14.732
GTK30A00970	GTK30A00970	2.251	2.562	3.088	3.299	3.268	2.845	2.19	2.754	3.862	4.505	4.059	4.132	3.389	3.133	3.633	4.112	3.525	3.667	0.644	0.606	3.583	3.367	2.946	2.827	2.368	0.692	1.163	0.33	4.661	2.535	3.799	3.343
GTK30AA00130	GTK30AA00130	-3.096	-2.937	-2.69	-2.842	-3.246	-2.747	-1.835	-3.311	-2.884	-2.67	-2.777	-3	-3.036	-2.995	-2.837	-3	-2.566	-2.563	-3.052	-2.95	-2.926	-2.685	-3.412	-3.515	-2.15	-2.163	-3.085	-2.985	-3.313	-3.415	-3.147	-2.542
GTK30AA00150	GTK30AA00150	-6.584	-6.425	-6.179	-6.33	-6.734	-6.235	-5.324	-6.799	-6.373	-6.158	-6.265	-6.488	-6.525	-6.483	-6.325	-6.489	-6.054	-6.052	-6.541	-6.438	-6.414	-6.173	-6.9	-7.003	-5.638	-5.651	-6.573	-6.473	-6.801	-6.903	-6.635	-6.03
GTK30AF00100	GTK30AF00100	-1.002	-0.842	-0.596	-0.748	-1.152	-0.653	0.259	-1.217	-0.79	-0.575	-0.683	-0.906	-0.942	-0.901	-0.742	-0.906	-0.472	-0.469	-0.958	-0.856	-0.831	-0.591	-1.317	-1.421	-0.056	-0.069	-0.991	-0.891	-1.219	-1.32	-1.053	-0.448
GTK30AG00110	GTK30AG00110	-2.316	-2.157	-1.91	-2.062	-2.466	-1.967	-1.055	-2.531	-2.104	-1.889	-1.997	-2.22	-2.256	-2.215	-2.056	-2.22	-1.786	-1.783	-2.272	-2.17	-2.145	-1.905	-2.632	-2.735	-1.37	-1.383	-2.305	-2.205	-2.533	-2.635	-2.367	-1.762
GTK30AG00120	GTK30AG00120	-1.218	-1.059	-0.813	-0.964	-1.368	-0.87	0.042	-1.433	-1.007	-0.792	-0.9	-1.122	-1.159	-1.118	-0.959	-1.123	-0.688	-0.686	-1.175	-1.073	-1.048	-0.807	-1.534	-1.637	-0.273	-0.286	-1.207	-1.108	-1.436	-1.537	-1.269	-0.665
GTK30B00110	GTK30B00110	0.748	0.908	1.154	1.002	0.598	1.097	2.009	0.533	0.96	1.175	1.067	0.844	0.808	0.849	1.008	0.844	1.278	1.281	0.792	0.894	0.919	1.159	0.433	0.329	1.694	1.681	0.759	0.859	0.531	0.43	0.697	1.302
GTK30B00140	GTK30B00140	3.387	3.594	3.806	3.501	3.572	3.735	3.189	3.349	3.02	2.827	3.323	3.61	4.186	3.812	4.063	4.263	4.149	4.151	1.358	0.846	3.362	3.673	3.579	3.538	3.332	2.862	3.648	1.669	3.773	3.546	3.911	1.341
GTK30B00150	GTK30B00150	3.451	3.544	3.598	3.491	3.643	3.665	3.446	3.127	3.328	3.025	3.556	3.422	3.916	3.637	3.62	4.017	3.99	4.12	1.862	1.338	3.383	3.651	3.676	3.575	3.095	2.404	2.797	1.371	3.717	3.411	3.774	1.399
GTK30B00160	GTK30B00160	-0.205	-1.133	-0.565	-0.453	-0.535	-0.943	0.428	-0.185	0.089	-0.281	-0.388	-0.289	3.251	2.864	3.023	3.287	3.613	3.899	-0.161	-0.059	-0.034	0.819	1.437	1.681	0.354	-0.037	0.848	0.342	-1.05	0.518	0.242	0.169
GTK30B00970	GTK30B00970	-5.552	-5.393	-5.147	-5.298	-5.702	-5.203	-4.292	-5.767	-5.34	-5.126	-5.233	-5.456	-5.492	-5.451	-5.293	-5.456	-5.022	-5.019	-5.508	-5.406	-5.382	-5.141	-5.868	-5.971	-4.606	-4.619	-5.541	-5.441	-5.769	-5.871	-5.603	-4.998
